collection_date,collection_timestamp,day_of_week,time_slot,direction,residential_area,it_hub,origin,destination,distance_km,duration_minutes,static_duration,status
2026-07-21,2026-07-21 19:34:07,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","Manyata Tech Park, Bengaluru","JP Nagar, Bengaluru","Manyata Tech Park, Bengaluru",21.27,36.13,58.83,success
2026-07-21,2026-07-21 19:34:07,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","Electronic City, Bengaluru","JP Nagar, Bengaluru","Electronic City, Bengaluru",16.58,21.52,29.75,success
2026-07-21,2026-07-21 19:34:07,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","International Tech Park Bangalore, Bengaluru","JP Nagar, Bengaluru","International Tech Park Bangalore, Bengaluru",24.21,39.55,55.3,success
2026-07-21,2026-07-21 19:34:07,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","Bagmane Tech Park, Bengaluru","JP Nagar, Bengaluru","Bagmane Tech Park, Bengaluru",18.23,33.47,51.38,success
2026-07-21,2026-07-21 19:34:07,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","RMZ Ecoworld, Bengaluru","JP Nagar, Bengaluru","RMZ Ecoworld, Bengaluru",14.56,22.47,31.23,success
2026-07-21,2026-07-21 19:34:08,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","Embassy TechVillage, Bengaluru","JP Nagar, Bengaluru","Embassy TechVillage, Bengaluru",15.9,23.23,33.2,success
2026-07-21,2026-07-21 19:34:08,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","Global Village Tech Park, Bengaluru","JP Nagar, Bengaluru","Global Village Tech Park, Bengaluru",12.4,25.78,38.45,success
2026-07-21,2026-07-21 19:34:08,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","Prestige Tech Park, Bengaluru","JP Nagar, Bengaluru","Prestige Tech Park, Bengaluru",15.0,22.23,32.37,success
2026-07-21,2026-07-21 19:34:08,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","Embassy GolfLinks Business Park, Bengaluru","JP Nagar, Bengaluru","Embassy GolfLinks Business Park, Bengaluru",12.89,24.78,38.92,success
2026-07-21,2026-07-21 19:34:08,Tuesday,morning_peak,home_to_office,"JP Nagar, Bengaluru","Cessna Business Park, Bengaluru","JP Nagar, Bengaluru","Cessna Business Park, Bengaluru",15.36,21.77,31.33,success
2026-07-21,2026-07-21 19:34:09,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","Manyata Tech Park, Bengaluru","Jayanagar, Bengaluru","Manyata Tech Park, Bengaluru",18.17,29.9,48.17,success
2026-07-21,2026-07-21 19:34:09,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","Electronic City, Bengaluru","Jayanagar, Bengaluru","Electronic City, Bengaluru",16.7,21.25,30.6,success
2026-07-21,2026-07-21 19:34:09,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","International Tech Park Bangalore, Bengaluru","Jayanagar, Bengaluru","International Tech Park Bangalore, Bengaluru",22.36,40.3,65.53,success
2026-07-21,2026-07-21 19:34:09,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","Bagmane Tech Park, Bengaluru","Jayanagar, Bengaluru","Bagmane Tech Park, Bengaluru",13.23,26.87,43.07,success
2026-07-21,2026-07-21 19:34:09,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","RMZ Ecoworld, Bengaluru","Jayanagar, Bengaluru","RMZ Ecoworld, Bengaluru",14.69,22.15,32.08,success
2026-07-21,2026-07-21 19:34:09,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","Embassy TechVillage, Bengaluru","Jayanagar, Bengaluru","Embassy TechVillage, Bengaluru",16.02,22.92,34.03,success
2026-07-21,2026-07-21 19:34:10,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","Global Village Tech Park, Bengaluru","Jayanagar, Bengaluru","Global Village Tech Park, Bengaluru",13.43,25.97,41.2,success
2026-07-21,2026-07-21 19:34:10,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","Prestige Tech Park, Bengaluru","Jayanagar, Bengaluru","Prestige Tech Park, Bengaluru",15.13,21.92,33.22,success
2026-07-21,2026-07-21 19:34:10,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","Embassy GolfLinks Business Park, Bengaluru","Jayanagar, Bengaluru","Embassy GolfLinks Business Park, Bengaluru",11.79,24.68,35.02,success
2026-07-21,2026-07-21 19:34:10,Tuesday,morning_peak,home_to_office,"Jayanagar, Bengaluru","Cessna Business Park, Bengaluru","Jayanagar, Bengaluru","Cessna Business Park, Bengaluru",15.49,21.45,32.17,success
2026-07-21,2026-07-21 19:34:10,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","Manyata Tech Park, Bengaluru","Banashankari, Bengaluru","Manyata Tech Park, Bengaluru",20.29,34.25,53.0,success
2026-07-21,2026-07-21 19:34:10,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","Electronic City, Bengaluru","Banashankari, Bengaluru","Electronic City, Bengaluru",20.58,28.62,43.32,success
2026-07-21,2026-07-21 19:34:10,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","International Tech Park Bangalore, Bengaluru","Banashankari, Bengaluru","International Tech Park Bangalore, Bengaluru",28.21,46.13,68.85,success
2026-07-21,2026-07-21 19:34:11,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","Bagmane Tech Park, Bengaluru","Banashankari, Bengaluru","Bagmane Tech Park, Bengaluru",16.64,34.6,55.6,success
2026-07-21,2026-07-21 19:34:11,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","RMZ Ecoworld, Bengaluru","Banashankari, Bengaluru","RMZ Ecoworld, Bengaluru",18.56,29.68,44.8,success
2026-07-21,2026-07-21 19:34:11,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","Embassy TechVillage, Bengaluru","Banashankari, Bengaluru","Embassy TechVillage, Bengaluru",19.9,30.33,46.75,success
2026-07-21,2026-07-21 19:34:11,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","Global Village Tech Park, Bengaluru","Banashankari, Bengaluru","Global Village Tech Park, Bengaluru",9.6,19.28,26.03,success
2026-07-21,2026-07-21 19:34:11,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","Prestige Tech Park, Bengaluru","Banashankari, Bengaluru","Prestige Tech Park, Bengaluru",19.0,29.25,45.93,success
2026-07-21,2026-07-21 19:34:11,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","Embassy GolfLinks Business Park, Bengaluru","Banashankari, Bengaluru","Embassy GolfLinks Business Park, Bengaluru",16.0,31.97,49.33,success
2026-07-21,2026-07-21 19:34:12,Tuesday,morning_peak,home_to_office,"Banashankari, Bengaluru","Cessna Business Park, Bengaluru","Banashankari, Bengaluru","Cessna Business Park, Bengaluru",19.37,28.88,44.88,success
2026-07-21,2026-07-21 19:34:12,Tuesday,morning_peak,home_to_office,"Koramangala, Bengaluru","Manyata Tech Park, Bengaluru","Koramangala, Bengaluru","Manyata Tech Park, Bengaluru",18.27,31.35,44.88,success
2026-07-21,2026-07-21 19:34:12,Tuesday,morning_peak,home_to_office,"Koramangala, Bengaluru","Electronic City, Bengaluru","Koramangala, Bengaluru","Electronic City, Bengaluru",13.6,17.72,24.95,success
2026-07-21,2026-07-21 19:34:12,Tuesday,morning_peak,home_to_office,"Koramangala, Bengaluru","International Tech Park Bangalore, Bengaluru","Koramangala, Bengaluru","International Tech Park Bangalore, Bengaluru",18.58,31.8,52.28,success
2026-07-21,2026-07-21 19:34:12,Tuesday,morning_peak,home_to_office,"Koramangala, Bengaluru","Bagmane Tech Park, Bengaluru","Koramangala, Bengaluru","Bagmane Tech Park, Bengaluru",9.45,18.27,29.82,success
2026-07-21,2026-07-21 19:34:12,Tuesday,morning_peak,home_to_office,"Koramangala, Bengaluru","RMZ Ecoworld, Bengaluru","Koramangala, Bengaluru","RMZ Ecoworld, Bengaluru",8.81,16.63,22.07,success
2026-07-21,2026-07-21 19:34:12,Tuesday,morning_peak,home_to_office,"Koramangala, Bengaluru","Embassy TechVillage, Bengaluru","Koramangala, Bengaluru","Embassy TechVillage, Bengaluru",10.14,17.42,24.03,success
2026-07-21,2026-07-21 19:34:13,Tuesday,morning_peak,home_to_office,"Koramangala, Bengaluru","Global Village Tech Park, Bengaluru","Koramangala, Bengaluru","Global Village Tech Park, Bengaluru",19.21,35.45,58.32,success
